taejon,"chemistry, multidisciplinary"
"villeurbanne ,villeurbanne ,artix","chemistry, inorganic & nuclear ,chemistry, organic"
los angeles,"chemistry, physical ,physics, condensed matter"
"gainesville ,chapel hill",polymer science
"washington ,annapolis","chemistry, physical"
madras,"chemistry, organic"
newark,"chemistry, physical"
milwaukee,"chemistry, physical"
tucson,"biochemical research methods ,chemistry, analytical ,spectroscopy"
taejon,polymer science
"pasadena ,irvine","chemistry, multidisciplinary"
"pasadena ,irvine","chemistry, multidisciplinary"
"univ pk ,newark","chemistry, inorganic & nuclear ,chemistry, organic"
iowa city,"chemistry, inorganic & nuclear ,chemistry, organic"
groningen,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
"vancouver ,burnaby","chemistry, inorganic & nuclear ,chemistry, organic"
berkeley,"chemistry, inorganic & nuclear ,chemistry, organic"
berkeley,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
munster,"chemistry, organic"
washington,"chemistry, physical"
graz,polymer science
,polymer science
,"chemistry, inorganic & nuclear"
,"chemistry, organic"
cambridge,"chemistry, physical ,materials science, multidisciplinary"
"pasadena ,wilmington ,wilmington",polymer science
"pasadena ,wilmington ,wilmington",polymer science
pasadena,polymer science
iowa city,"chemistry, organic"
,"chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, physical ,physics, atomic, molecular & chemical"
milton keynes,"chemistry, inorganic & nuclear"
lawrence,"chemistry, inorganic & nuclear ,chemistry, organic"
"los angeles ,santa barbara ,los angeles","chemistry, analytical"
"rockville ,erie","chemistry, physical ,physics, atomic, molecular & chemical"
poznan,"chemistry, applied ,chemistry, inorganic & nuclear"
,"chemistry, inorganic & nuclear ,crystallography"
moscow,"chemistry, multidisciplinary"
amsterdam,"chemistry, physical ,engineering, chemical"
"new haven ,newark","chemistry, multidisciplinary"
"mobile ,new orleans","chemistry, physical"
,"chemistry, multidisciplinary"
seattle,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, multidisciplinary"
leeds,"chemistry, inorganic & nuclear"
"kiev ,cologne","chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, multidisciplinary ,chemistry, physical ,nanoscience & nanotechnology ,materials science, multidisciplinary ,physics, applied ,physics, condensed matter"
,"chemistry, physical ,materials science, multidisciplinary"
"durham ,wilmington ,newcastle upon tyne","chemistry, multidisciplinary"
"ottawa ,groningen","chemistry, multidisciplinary"
richland,"chemistry, physical"
,polymer science
,polymer science
"atlanta,okazaki","chemistry, multidisciplinary"
pasadena,"chemistry, multidisciplinary"
,polymer science
sapporo,"chemistry, inorganic & nuclear ,chemistry, organic"
bristol,"chemistry, inorganic & nuclear ,chemistry, organic"
"bologna ,bologna ,milan","chemistry, inorganic & nuclear"
cambridge,polymer science
milton keynes,"chemistry, multidisciplinary"
"taejon ,wako","physics, applied"
,"chemistry, multidisciplinary"
washington,"chemistry, multidisciplinary"
charlottesville,"chemistry, inorganic & nuclear"
"tokyo ,yokohama","chemistry, inorganic & nuclear ,chemistry, organic"
"pasadena ,irvine ,wilmington","chemistry, inorganic & nuclear ,chemistry, organic"
cambridge,"chemistry, inorganic & nuclear ,chemistry, organic"
college stn,"chemistry, inorganic & nuclear ,chemistry, organic"
graz,polymer science
runcorn,polymer science
belfast,polymer science
"manchester,runcorn",polymer science
,"chemistry, inorganic & nuclear"
,"chemistry, inorganic & nuclear ,chemistry, organic"
"florence ,florence ,girona","chemistry, inorganic & nuclear"
austin,"chemistry, physical ,materials science, multidisciplinary"
cambridge,"chemistry, physical ,materials science, multidisciplinary"
suita,"chemistry, multidisciplinary"
"taipei ,hsinchu","chemistry, inorganic & nuclear ,chemistry, organic"
"newark ,notre dame","chemistry, inorganic & nuclear ,chemistry, organic"
talence,polymer science
villeurbanne,"chemistry, inorganic & nuclear"
,"chemistry, physical"
,"chemistry, physical"
