Id,CO,lat,lon
934,['usa'],37.09024,-95.712891
937,['czech republic'],49.817492,15.472962
938,['belgium'],50.503887,4.469936
939,['usa'],37.09024,-95.712891
940,['usa'],37.09024,-95.712891
941,['spain'],40.463667,-3.74922
942,['poland'],51.919438,19.145136
943,['belgium'],50.503887,4.469936
944,['usa'],37.09024,-95.712891
945,['india'],20.593684,78.96288
946,['usa'],37.09024,-95.712891
947,['usa'],37.09024,-95.712891
948,['south africa'],-30.559482,22.937506
949,['south africa'],-30.559482,22.937506
950,['south korea'],35.907757,127.766922
951,['usa'],37.09024,-95.712891
952,['usa'],37.09024,-95.712891
953,['england'],52.3555177,-1.1743197
954,"['germany,usa']",51.165691,10.451526
954,"['germany,usa']",37.09024,-95.712891
957,['england'],52.3555177,-1.1743197
958,['switzerland'],46.818188,8.227512
